2024-12-06 15:44:30,364 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,364 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
2024-12-06 15:44:30,365 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
2024-12-06 15:44:30,365 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,365 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,519 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,519 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
2024-12-06 15:44:30,520 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
2024-12-06 15:44:30,520 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,677 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,677 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,678 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
2024-12-06 15:44:30,678 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,678 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,679 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
2024-12-06 15:44:30,679 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,679 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
2024-12-06 15:44:30,680 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,680 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
2024-12-06 15:44:30,681 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,681 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
2024-12-06 15:44:30,682 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
2024-12-06 15:44:30,682 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,682 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,832 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,833 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
2024-12-06 15:44:30,833 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:30,981 - INFO - [logger.py:39] - Packet captured - Source: 104.46.162.226, Destination: 10.0.2.15, Protocol: TCP
2024-12-06 15:44:31,028 - INFO - [logger.py:39] - Packet captured - Source: 10.0.2.15, Destination: 104.46.162.226, Protocol: TCP
2024-12-06 15:44:56,064 - INFO - [logger.py:58] - Stopping packet capture
